,Monte Carlo,Antithetic Variates,Stratified Sampling,Empirical Martingale Correction
119,973.650608879938,984.9966740113587,1008.2662896212989,1008.2662896212989
120,998.8228256309262,962.8047084248369,1008.4008865308907,1008.4008865308907
121,974.9060268984763,998.0307740334753,1008.3189906311619,1008.3189906311619
122,980.0085747758465,940.3584515950831,1008.1499608456783,1008.1499608456783
123,981.5996689944513,950.9972954058512,1008.273758288143,1008.273758288143
124,980.0724727430096,963.3805108546456,1008.3143415520516,1008.3143415520516
125,990.9174138246177,976.5262840519896,1008.1859096909852,1008.1859096909852
126,967.6739218961233,971.4408318193033,1008.2985653286306,1008.2985653286306
127,962.0359891192138,964.3464777585295,1006.4986228731194,1006.4986228731194
128,990.6839854090202,944.5936098019755,1006.5101295841475,1006.5101295841475
129,943.9218798288762,958.3366663929081,1006.5026169231985,1006.5026169231985
130,970.9203593168882,957.7324706069423,1006.4149987122252,1006.4149987122252
131,939.9671985282953,959.5713936343498,1006.5160066162346,1006.5160066162346
132,957.0588869749072,958.6610341286405,1006.438428752121,1006.438428752121
133,968.4500380468098,973.7873668620845,1006.4407109280161,1006.4407109280161
134,993.4699628923981,986.714339904431,1006.5497288908824,1006.5497288908824
135,990.0256154720732,961.4735252096923,1006.5423300548001,1006.5423300548001
136,998.4780251343819,1004.4389754615652,1006.5350073528455,1006.5350073528455
137,977.451480168008,985.2193704946895,1006.4406728917089,1006.4406728917089
138,987.9396873252443,975.7877575353033,1006.6255843627785,1006.6255843627785
139,999.4268937096643,973.9644698437019,1006.5407704099189,1006.5407704099189
140,984.7657885972111,996.0614009007878,1006.6287039177978,1006.6287039177978
141,973.5965564598592,940.9510387195919,1006.6302636989332,1006.6302636989332
142,979.9712940340335,979.6650311021943,1006.5375560274817,1006.5375560274817
143,981.9788260941118,983.9550206601457,1006.5395150877455,1006.5395150877455
144,991.3174566865392,978.5584939531074,1006.6349430568397,1006.6349430568397
145,1001.5235081884853,973.7504873311179,1006.8226679212345,1006.8226679212345
146,992.6473939861498,979.5644641343522,1006.4439059829634,1006.4439059829634
147,986.5596703484681,982.7003814815062,1006.5297768840657,1006.5297768840657
148,965.9824597842287,1006.4574470427079,1006.457447042708,1006.457447042708
149,946.7452454630354,960.3077748671604,1006.533847137425,1006.533847137425
150,983.8056697363226,999.4416072141935,1006.4621636343882,1006.4621636343882
151,986.4449879397137,1006.5551877071247,1006.5551877071246,1006.5551877071246
152,1006.5485496383003,1005.4749033745362,1006.5485496383003,1006.5485496383003
153,993.156638208456,997.6197217841539,1006.4692385633527,1006.4692385633527
